task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool
aa-lcr/aa-lcr/aa-lcr-1,aa-lcr,aa-lcr/aa-lcr-1,9,7,0.4375,0.911111111111111,0.0993807989999906,0.8,1.0,0.95,-0.25,0.4330127018922193,-0.1490711270533881,easy,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-10,aa-lcr,aa-lcr/aa-lcr-10,9,7,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0,True,False,False,False
aa-lcr/aa-lcr/aa-lcr-100,aa-lcr,aa-lcr/aa-lcr-100,9,7,0.4375,0.6444444444444444,0.2060804110110156,0.4,1.0,0.625,0.0625,0.3903123748998999,0.0413450178937077,medium,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-11,aa-lcr,aa-lcr/aa-lcr-11,10,6,0.375,0.6599999999999999,0.3104834939252004,0.0,1.0,0.675,-0.0499999999999999,0.4924428900898053,-0.0262160720904017,medium,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-12,aa-lcr,aa-lcr/aa-lcr-12,10,6,0.375,0.765,0.2846489065498056,0.25,1.0,0.815625,-0.16875,0.4686666592579421,-0.0929680417740361,easy,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-13,aa-lcr,aa-lcr/aa-lcr-13,9,7,0.4375,0.8222222222222223,0.174977952755818,0.6,1.0,0.8125,0.0312499999999999,0.329239179776648,0.0245072813320527,easy,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-14,aa-lcr,aa-lcr/aa-lcr-14,10,6,0.375,0.86,0.3104834939252004,0.0,1.0,0.9125,-0.2818185240503635,0.8201542588432712,-0.0887212911410468,easy,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-15,aa-lcr,aa-lcr/aa-lcr-15,10,6,0.375,0.48,0.2993325909419153,0.0,1.0,0.45,0.0999999999999999,0.4795831523312719,0.0538382730972943,medium,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-16,aa-lcr,aa-lcr/aa-lcr-16,10,6,0.375,0.5599999999999999,0.3322649545167229,0.0,1.0,0.575,-0.0454545454545454,0.4788933524023972,-0.0245069800663515,medium,0,0,True,False,True,False
aa-lcr/aa-lcr/aa-lcr-17,aa-lcr,aa-lcr/aa-lcr-17,9,7,0.4375,0.6370370000000001,0.3679923964443951,0.2,1.0,0.7083333125,-0.114583359375,0.3594882407637362,-0.0822982172120925,easy,0,0,True,False,True,False
