benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date,alignment_status,alignment_transform,alignment_notes
sldbench,gemini-3-flash-preview,terminus-2,0.777209,0.14535045855,0.63185854145,0.63185854145,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
simpleqa,gpt-5.4,codex,0.949,0.327,0.6219999999999999,0.6219999999999999,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
sldbench,gemini-3-flash-preview,gemini-cli,0.751858,0.14535045855,0.6065075414500001,0.6065075414500001,gemini-3-flash-preview,openhands,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
simpleqa,claude-sonnet-4-6,claude-code,0.814,0.321,0.49299999999999994,0.49299999999999994,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,claude-sonnet-4-6,terminus-2,0.812,0.321,0.49100000000000005,0.49100000000000005,Claude Sonnet 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,claude-opus-4-6,terminus-2,0.91,0.483,0.42700000000000005,0.42700000000000005,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,gpt-5.4,terminus-2,0.735,0.327,0.408,0.408,GPT-5.4,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
terminalbench_2_0,gpt-5.4,terminus-2,0.429775,0.8179775280898877,-0.38820252808988764,0.38820252808988764,GPT-5.4,ForgeCode,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
simpleqa,claude-opus-4-6,claude-code,0.862,0.483,0.379,0.379,Claude Opus 4.6,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
swe_bench_pro,gpt-5.4,terminus-2,0.36,0.591,-0.23099999999999998,0.23099999999999998,gpt-5.4,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.961,0.748,0.21299999999999997,0.21299999999999997,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
simpleqa,gemini-3.1-pro-preview,terminus-2,0.95,0.748,0.20199999999999996,0.20199999999999996,Gemini 3.1 Pro Preview,,matched_model_only_doc_no_agent,accuracy,2026-03-09,direct,identity,"Use accuracy, not not_attempted, F-score, or hallucination-rate fields."
hle,claude-opus-4-6,claude-code,0.384739,0.19,0.194739,0.194739,claude-opus-4-6 (Non-Thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
terminalbench_2_0,gemini-3.1-pro-preview,gemini-cli,0.626966,0.802247191011236,-0.17528119101123596,0.17528119101123596,Gemini 3.1 Pro,TongAgents,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
