matrix_column,stem,benchmark_name,model,agent,score_harbor,score_doc,delta,doc_model_matched,doc_agent_matched,doc_metric_used,primary_metric_json,doc_slice_date,doc_source_url,match_status,alignment_status,alignment_transform,include_in_comparison,alignment_evidence_level,alignment_notes
aa-lcr,aa_lcr,,gpt-5.4,terminus-2,0.563636,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5.4,codex,0.745455,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-mini,terminus-2,0.345876,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-mini,codex,0.735354,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-nano,terminus-2,0.136709,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-nano,codex,0.377778,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-haiku-4-5-20251001,terminus-2,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-haiku-4-5-20251001,claude-code,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-sonnet-4-6,terminus-2,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-sonnet-4-6,claude-code,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-opus-4-6,terminus-2,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-opus-4-6,claude-code,,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3.1-pro-preview,terminus-2,0.743434,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3.1-pro-preview,gemini-cli,0.664646,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3-flash-preview,terminus-2,0.654545,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3-flash-preview,gemini-cli,0.640404,,,,,,,,,skipped_no_alignment,,,False,,
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,terminus-2,0.545778,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,codex,0.779556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
